iter	Passed	Remaining
1159	19014	30160
1160	19029	30142
1161	19045	30125
1162	19061	30108
1163	19077	30090
1164	19093	30073
1165	19108	30055
1166	19124	30039
1167	19141	30023
1168	19156	30005
1169	19171	29985
1170	19186	29967
1171	19201	29948
1172	19215	29929
1173	19232	29912
1174	19249	29897
1175	19264	29879
1176	19279	29861
1177	19295	29844
1178	19312	29829
1179	19330	29815
1180	19347	29799
1181	19364	29783
1182	19387	29777
1183	19412	29774
1184	19430	29760
1185	19448	29745
1186	19464	29730
1187	19484	29718
1188	19499	29700
1189	19517	29685
1190	19533	29668
1191	19549	29652
1192	19564	29634
1193	19581	29617
1194	19608	29617
1195	19625	29602
1196	19643	29588
1197	19660	29572
1198	19676	29555
1199	19693	29540
1200	19708	29522
1201	19728	29510
1202	19743	29492
1203	19758	29473
1204	19774	29457
1205	19789	29438
1206	19806	29421
1207	19822	29404
1208	19837	29387
1209	19852	29368
1210	19867	29350
1211	19882	29332
1212	19899	29316
1213	19914	29297
1214	19930	29280
1215	19945	29261
1216	19959	29242
1217	19974	29224
1218	19989	29205
1219	20004	29186
1220	20020	29169
1221	20034	29150
1222	20051	29135
1223	20068	29118
1224	20083	29101
1225	20099	29083
1226	20114	29064
1227	20128	29045
1228	20144	29028
1229	20158	29008
1230	20172	28989
1231	20187	28970
1232	20201	28950
1233	20215	28930
1234	20230	28912
1235	20246	28895
1236	20262	28878
1237	20277	28859
1238	20293	28842
1239	20308	28824
1240	20324	28807
1241	20339	28790
1242	20354	28771
1243	20369	28752
1244	20386	28737
1245	20400	28718
1246	20416	28701
1247	20433	28684
1248	20447	28666
1249	20462	28647
1250	20477	28629
1251	20492	28611
1252	20509	28595
1253	20523	28576
1254	20539	28559
1255	20555	28541
1256	20570	28523
1257	20586	28506
1258	20603	28491
1259	20618	28472
1260	20633	28454
1261	20651	28440
1262	20666	28422
1263	20681	28403
1264	20698	28388
1265	20717	28375
1266	20733	28359
1267	20748	28341
1268	20764	28323
1269	20778	28304
1270	20795	28288
1271	20810	28270
1272	20825	28253
1273	20843	28237
1274	20859	28221
1275	20877	28206
1276	20892	28189
1277	20908	28172
1278	20923	28154
1279	20939	28137
1280	20955	28120
1281	20972	28105
1282	20989	28090
1283	21004	28070
1284	21018	28052
1285	21034	28035
1286	21049	28017
1287	21065	27999
1288	21081	27983
1289	21097	27965
1290	21113	27949
1291	21128	27931
1292	21142	27912
1293	21157	27894
1294	21174	27877
1295	21188	27859
1296	21205	27843
1297	21220	27825
1298	21236	27808
1299	21252	27792
1300	21269	27776
1301	21284	27758
1302	21300	27741
1303	21315	27723
1304	21331	27706
1305	21347	27689
1306	21361	27670
1307	21377	27652
1308	21392	27634
1309	21407	27616
1310	21422	27598
1311	21437	27581
1312	21453	27563
1313	21469	27546
1314	21485	27530
1315	21500	27512
1316	21515	27494
1317	21530	27476
1318	21547	27461
1319	21563	27444
1320	21579	27428
1321	21596	27412
1322	21611	27394
1323	21626	27376
1324	21641	27358
1325	21657	27341
1326	21672	27323
1327	21688	27306
1328	21708	27295
1329	21724	27278
1330	21740	27261
1331	21755	27243
1332	21770	27225
1333	21785	27207
1334	21800	27189
1335	21815	27171
1336	21832	27155
1337	21847	27138
1338	21863	27121
1339	21878	27103
1340	21893	27085
1341	21909	27068
1342	21926	27052
1343	21940	27034
1344	21956	27016
1345	21971	26998
1346	21987	26981
1347	22004	26967
1348	22019	26948
1349	22034	26930
1350	22050	26914
1351	22067	26898
1352	22082	26881
1353	22097	26863
1354	22111	26844
1355	22127	26827
1356	22142	26809
1357	22159	26793
1358	22174	26776
1359	22189	26758
1360	22206	26741
1361	22223	26726
1362	22238	26709
1363	22254	26691
1364	22269	26674
1365	22293	26667
1366	22312	26654
1367	22329	26638
1368	22346	26623
1369	22365	26609
1370	22382	26594
1371	22401	26581
1372	22418	26566
1373	22435	26550
1374	22454	26536
1375	22470	26520
1376	22486	26503
1377	22500	26485
1378	22515	26466
1379	22532	26451
1380	22549	26435
1381	22566	26420
1382	22581	26402
1383	22599	26388
1384	22616	26372
1385	22634	26357
1386	22650	26341
1387	22665	26323
1388	22682	26307
1389	22697	26289
1390	22717	26278
1391	22734	26262
1392	22750	26245
1393	22768	26231
1394	22784	26214
1395	22799	26196
1396	22815	26180
1397	22832	26163
1398	22848	26147
1399	22865	26131
1400	22883	26117
1401	22900	26102
1402	22917	26086
1403	22934	26070
1404	22951	26054
1405	22967	26038
1406	22983	26021
1407	22998	26004
1408	23014	25987
1409	23031	25971
1410	23047	25955
1411	23064	25939
1412	23082	25924
1413	23098	25908
1414	23113	25890
1415	23129	25873
1416	23146	25857
1417	23162	25840
1418	23178	25825
1419	23197	25811
1420	23221	25803
1421	23237	25786
1422	23252	25768
1423	23269	25753
1424	23285	25736
1425	23301	25720
1426	23319	25705
1427	23335	25688
1428	23351	25672
1429	23369	25657
1430	23385	25640
1431	23401	25623
1432	23417	25607
1433	23434	25591
1434	23450	25574
1435	23468	25560
1436	23484	25543
1437	23501	25527
1438	23516	25510
1439	23533	25494
1440	23549	25477
1441	23564	25460
1442	23580	25443
1443	23596	25426
1444	23613	25411
1445	23629	25394
1446	23647	25379
1447	23661	25361
1448	23676	25343
1449	23691	25325
1450	23707	25308
1451	23723	25292
1452	23740	25276
1453	23757	25260
1454	23771	25242
1455	23788	25225
1456	23803	25208
1457	23819	25191
1458	23833	25173
1459	23850	25157
1460	23865	25139
1461	23881	25123
1462	23898	25107
1463	23915	25091
1464	23930	25073
1465	23944	25055
1466	23960	25038
1467	23974	25020
1468	23991	25003
1469	24005	24985
1470	24021	24968
1471	24037	24952
1472	24053	24935
1473	24069	24918
1474	24111	24929
1475	24126	24910
1476	24141	24893
1477	24155	24874
1478	24172	24858
1479	24192	24846
1480	24207	24828
1481	24223	24811
1482	24240	24795
1483	24255	24778
1484	24273	24763
1485	24291	24748
1486	24307	24732
1487	24323	24716
1488	24339	24699
1489	24354	24681
1490	24370	24664
1491	24389	24651
1492	24405	24634
1493	24422	24618
1494	24437	24600
1495	24455	24585
1496	24471	24569
1497	24487	24552
1498	24503	24535
1499	24518	24518
1500	24535	24502
1501	24549	24484
1502	24565	24467
1503	24581	24451
1504	24598	24434
1505	24613	24417
1506	24629	24400
