market,feature,mean_abs_shap
Market B,global_horizontal_irradiance,0.1461597390638671
Market B,air_temperature_2m_xmk_std,0.1438980521532046
Market B,wind_forecast_roll_std_72,0.14306331161662653
Market B,dow_sin,0.14027218774484157
Market B,load_forecast_lag_6,0.137741157680647
Market B,air_temperature_2m_xmk_z,0.1350941240404845
Market B,target_profile_mhd_mean,0.13503454568439852
Market B,air_temperature_2m_xmk_mean,0.1304204579658707
Market B,residual_load_roll_std_6,0.12928980433839118
Market B,solar_forecast,0.1276587568221434
Market B,residual_load_lag_168,0.12732992028662815
Market B,solar_forecast_diff_1,0.12384305934957666
Market B,load_forecast_diff_6,0.12334480435863807
Market B,load_forecast_lag_24,0.12318352237742813
Market B,solar_forecast_lag_6,0.11789353762328574
Market B,diffuse_horizontal_irradiance,0.11651839996440712
Market B,target_profile_mh_std,0.11388907465255586
Market B,cloud_cover_low,0.11307527693955899
Market B,visibility,0.1121487667534217
Market B,load_forecast_roll_std_6,0.11211942900023857
Market B,hour,0.10762017725240128
Market B,dow_cos,0.10528218034033544
Market B,cloud_cover_total_xmk_std,0.09753173482492958
Market B,load_forecast_lag_168,0.09321779979751739
Market B,load_forecast_lag_2,0.09230324298392321
Market B,load_forecast_diff_1,0.09132039580433697
Market B,temp_dew_spread,0.08926151280798214
Market B,cloud_cover_high,0.08843575903790526
Market B,residual_load_1819,0.0880275829524261
Market B,apparent_temperature_2m,0.08664053938086927
Market B,load_forecast,0.0815388299239505
Market B,stress_ratio_1819,0.0809904956987354
Market B,residual_load_lag_48,0.07526363972633049
Market B,air_temperature_2m,0.07478883789321088
Market B,solar_forecast_lag_168,0.070767570838638
Market B,month_cos,0.07041457788394541
Market B,cloud_cover_mid,0.06781585639995169
Market B,convective_available_potential_energy,0.06676035264309711
Market B,gust_ratio_10m,0.06480455494668305
Market B,cloud_cover_total,0.06319009175959528
Market B,month_x_market,0.06293574720400108
Market B,target_profile_mh_mean,0.0590468782021725
Market B,cloud_x_solar,0.05704175341822359
Market B,load_forecast_lag_1,0.053833796350657714
Market B,month,0.046189425914064115
Market B,is_18_19,0.04595536426841209
Market B,relative_humidity_2m,0.04255155063532844
Market B,dow,0.03634776379583759
Market B,hour_cos,0.03214242970771848
Market B,hour_x_market,0.029545894914405943
Market B,wind_forecast_xmk_diff,0.022229041953941053
Market B,solar_forecast_xmk_z,0.014459900262638188
Market B,precipitation_amount_xmk_mean,0.013610446965194424
Market B,load_forecast_xmk_diff,0.012143498139741159
Market B,solar_forecast_xmk_diff,0.011919438223801345
Market B,is_winter,0.010853583640961263
Market B,dow_x_market,0.009144605625460664
Market B,is_weekend,0.009131592104745307
Market B,precipitation_amount_xmk_std,0.008173626743069954
Market B,precipitation_amount_xmk_diff,0.005823259347030657
Market B,precipitation_amount_xmk_z,0.005642464790297604
Market B,residual_load_xmk_diff,0.005420592923824432
Market B,precipitation_amount,0.0050582085428561565
Market B,meteo_missing_any,0.00363669736070665
Market B,residual_load_xmk_z,0.0017872778066837338
Market B,meteo_missing_count,0.000689522671408818
Market B,market,0.0
Market B,is_morning_peak,0.0
Market B,is_evening_peak,0.0
Market B,is_peak_17_20,0.0
Market B,is_night,0.0
Market B,load_forecast_xmk_std,0.0
Market B,load_forecast_xmk_z,0.0
Market B,wind_forecast_xmk_std,0.0
Market B,wind_forecast_xmk_z,0.0
Market B,solar_forecast_xmk_std,0.0
Market B,residual_load_xmk_std,0.0
